1.wav|ŋu lɔ-hɔ-ɦəʔ , noŋ-ɲi ?
1483.wav|dɑ-ciɑ1 ge bã=ɦiɤ , ɦo-tʰɑ̃1 tu1=tu1 kʷe=ʦɔ .
1484.wav|ʦʰɑ̃ ʦəʔ1 ku1 pəʔ dɑ-ciɑ1 tʰɪɲ hɔ vɐʔ ?
1485.wav|hɔ-ku . ʦʰɑ̃ ʦəʔ1 sɑ ?
1486.wav|ŋu ʦəʔ1 ku1=ʦʰɑ̃ 'ləʔ hɔ vəʔ hɔ ?
1487.wav|me-hɔ , vəʔ tʰe1=pe .
1488.wav|noŋ kʰø1 liã=ʦã ʦɔ=pʰi ɑ1-li ʦã=hɔ ?
1489.wav|ŋu siã=zz gəʔ ʦã=hɔ .
149.wav|ze-we tɪʔ hɔ-ku .
1490.wav|gəʔ-ɦəʔ məʔ-zz zz noŋ-ku vɐʔ ?
1491.wav|gəʔ zz ŋu gəʔ .
1492.wav|gəʔ ʦɑ̃ zz=tʰi noŋ ɕiɔ=təʔ vɐʔ ?
1493.wav|nɑ-nəŋ vəʔ=ɕiɔ=təʔ ɲi ?
1494.wav|ŋu we=sɑ ɪʔ=dɪɲ=iɔ1 ɕiɔ-təʔ-'ne ?
1495.wav|noŋ vəʔ kʷe=sɪɲ1 , su=i vəʔ=ɕiɔ=təʔ .
1496.wav|ŋu lɔ ɕi=hʷø noŋ-ku .
1497.wav|ŋu zy=zz voʔ=tʰɪʔ noŋ .
1498.wav|ɦi ʦu-ku zz=tʰi noŋ ʦe=zəŋ=gəʔ vɐʔ ?
1499.wav|ŋu=tɑ̃ zø doŋ=i gəʔ .
15.wav|de=ŋu=pɑ̃ 'ne oʔ=li siã1 məŋ-hɔ .
150.wav|məʔ sɐʔ hɔ te=sɪɲ1 gəʔ .
1500.wav|noŋ tɐʔ=ɪɲ vəʔ 'lɑ ?
1501.wav|vəʔ tɐʔ=ɪɲ , ŋu zoŋ-le məʔ tɐʔ=ɪɲ ku .
1502.wav|ɦi kʰɔ  ,  , noŋ ɕiɔ=təʔ vəʔ 'lɑ ?
1503.wav|ŋu vəʔ dɑ=ʦʰɪɲ1 sɑ̃1 .
1504.wav|he=tʰe kɔ1=dɤ noŋ kɔ1=ɕɪɲ cʰi vɐʔ ?
1505.wav|noŋ ɑ1 zz vəʔ ʦəŋ=be cʰi ?
1506.wav|iɔ1 ŋu ʦu pɔ-mu , ŋu vəʔ zɪɲ=ɲiø cʰi .
1507.wav|ŋu vəʔ-we fe1 te ɦi cʰi-ɦəʔ .
1508.wav|noŋ nɑ nəŋ-doŋ ɦɑ vəʔ=doŋ gəʔ ?
1509.wav|sɑ-ɲɪɲ ʦʰe ɦi ! ŋu ʦʰe ɦɑ vəʔ=iɔ1 ʦʰe ɦi !
151.wav|vɐʔ we tɪʔ kɐʔ ʦʰɑ1=gəʔ .
1510.wav|kʰʷɑ ɪʔ=ti hɔ=vɐʔ !
1511.wav|cɪʔ sɑ cɪʔ 'lɑ !
1512.wav|noŋ nɑ-nəŋ=ciɑ me=gəʔ 'lɑ !
1513.wav|we=sɑ vəʔ tʰɪɲ=ŋu=gəʔ ɦe=ɦo ?
1514.wav|nɑ-nəŋ vəʔ kɔ=su ŋu nɑ-nəŋ ʦu ?
1515.wav|noŋ sɑ=zz=tʰi iɔ1 mo ɲɪɲ=ciɑ1 ?
1516.wav|sɑ=tʰi vəʔ ʦɔ=ti=ciã !
1517.wav|ciɔ-noŋ cʰi we=sɑ=lɔ vəʔ cʰi ?
1518.wav|we-le-we-cʰi ze we='ləʔ noŋ , su=i vəʔ cʰi !
1519.wav|noŋ gəʔ bɑ ɲɪɲ tʰe1-pe1 vəʔ 'lɑ !
152.wav|zz=tʰi ʦoŋ=kʷe ɦiɤ tɪʔ ciɑ-cyɪʔ gəʔ be=fɐʔ=gəʔ .
1520.wav|noŋ su=ʦəʔ kɔ1 ɪʔ=ti hɔ=vɐʔ !
1521.wav|ŋu ʦəŋ1 vəʔ hɔ=i-sz1 !
1522.wav|ŋu məʔ tʰɪɲ tɔ lɔ .
1523.wav|ŋu ʦu-liɔ zəʔ=le tʰəʔ tɐʔ=ʦiã 'ləʔ .
1524.wav|zəʔ=le zz vəʔ hɔ=i-sz1 , ʦəŋ1 te=noŋ vəʔ cʰi !
1525.wav|məŋ=kʰe vəʔ kʰe !
1526.wav|gəʔ diɔ=iã kɤ=tʰoŋ1 hɔ ɦi 
1527.wav|gəʔ foŋ1=səŋ tʰəʔ ŋu ci tʰəʔ ɦi !
1528.wav|oʔ=ʦʰoʔ i1=zɑ̃ cʰi dɑ dɑ ɦi !
1529.wav|noŋ-cʰi ciɔ ɦi le .
153.wav|vɐʔ iɔ1 tu1 siã-liɔ .
1530.wav|ŋu tɑ ɲɪɲ 'nɑ cʰi .
1531.wav|tʰəʔ ŋu le !
1532.wav|kʰʷɑ=ti cʰi ! me=tʰəŋ1=tʰəŋ1 , moʔ toʔ=toʔ ʦu=sɑ !
1533.wav|təŋ=təŋ ŋu , me-me-ciɔ !
1534.wav|nɔ , pəʔ=noŋ !
1535.wav|ʦʰɪɲ zɔ1-zi ɪʔ=bu .
1536.wav|ʦɤ ku=cʰi ɪʔ=ŋe !
1537.wav|ʦɤ iɑ ! dɑ-ciɑ1 ʦɤ cʰi=le !
1538.wav|cʰɪɲ=cʰɪɲ ciɔ fɑ̃ !
1539.wav|zɪɲ ɪʔ=ti hɔ=vɐʔ !
154.wav|kɐʔ=ɦiɤ sɑ=hɐʔ ɲɪɲ=gəʔ .
1540.wav|ŋu zəŋ-kʷɑ̃1 le vəʔ=ɟɪʔ le , noŋ kʰʷɑ=ti hɔ vəʔ 'lɑ !
1541.wav|bɑ=hɔ=de , vəʔ=iɔ1 ʦʰɐʔ=de !
1542.wav|vəʔ hɔ-cʰi hɐʔ bã=gəʔ !
1543.wav|noŋ vəʔ=iɔ1 le tɔ de hɔ vəʔ 'lɑ !
1544.wav|noŋ vəʔ=iɔ1 hɐʔ-kɑ̃ !
1545.wav|ɑ1-'lɑ tʰəʔ lɔ-pɑ lɔ='mɑ i=cɪɲ fəŋ1-kʰe zz fəŋ1-kʰe cʰɪʔ-liɔ .
1546.wav|ŋu li=pɑ=tʰi1 zã=zã tɔ zã-ɲɪɲ-lɔ-dɤ tɐʔ=cʰi pɑ̃ ɦi lɑ ʦu ti lɪʔ=cʰi sã1=wəʔ .
1547.wav|ɑ1-'lɑ cɪɲ1=ɲi iɔ1=pɑ̃ ɐʔ1-koŋ1 lɔ=dɤ ʦu pɐʔ-səʔ dɑ-zɤ .
1548.wav|ŋɑ=sã1 cɪɲ1=ɲi kʰɔ dɑ-ɦoʔ cʰyɪʔ 'ləʔ ci-fəŋ1 məʔ kʰɔ=ʦɪɲ zoŋ=ti=dɑ-ɦoʔ .
1549.wav|ɑ1-'lɑ piɔ=me pø=ɲi=zi ɦiã=siɔ=nø ɦiã-liɔ ɪʔ-ku dɑ=bø r-ʦz .
155.wav|ŋu li-ciɑ noŋ-ku sɪɲ1=zɪɲ .
1550.wav|ɟy='mɑ lɑ te-we vəʔ cɪɲ-cʰi , ɦi ɦo-kɑ̃ i ɦɤ cʰi-ʦu ŋəʔ sɔ sɤ1=zəʔ tɔ me-hɔ .
1551.wav|ɲiã=ɟy 'lɑ-ʦã ɦiø=vəʔ cʰi-'ləʔ , ɦi cɪɲ zã ɪʔ-kɑ1=dɤ lɐʔ oʔ=li tʰəʔ i=cʰi .
1552.wav|cɪɲ1=ʦɔ1 ɑ1-'lɑ ɪʔ-kɑ1-məŋ ze=tɔ ɦiɑ=soʔ tɐʔ=cʰi bɐʔ siã1=hɔ vɐʔ ?
1553.wav|noŋ kʰø1 mɑ ti=sɑ gəʔ məʔ-zz pəʔ ɦi cʰɪʔ cʰɪʔ ?
1554.wav|ŋu=mɑ hɔ 'ləʔ , liã=ɦəʔ si1=ɦiã=ʦʰø , ŋ=cɪɲ1 bɪɲ=ku , ɦe-ɦiɤ zəʔ ʦɐʔ1 hɑ .
1555.wav|lɐʔ=lɐʔ gəʔ=tɐʔ zo=səʔ li bã=dɤ , zɪɲ-diɔ vəʔ tʰe1-pe1 .
1556.wav|noŋ iɔ1=cʰɪʔ sɑ zo ? le=wu ɲɪɲ=moŋ ɦoŋ-zo həʔ=həʔ hɔ=vɐʔ ?
1557.wav|ʦe=loŋ=ti ko1-ʦz , iɔ1=ku , ɦã-ɲɪɲ lɔ=sɑ poʔ=poʔ .
1558.wav|wɑ̃=ɕioŋ1 , noŋ ɦi=le lɐʔ=lɐʔ bɔ sɑ sã1-i 'ləʔ ?
1559.wav|gəʔ liã-ɲiɪʔ koŋ1=ʦoʔ ŋu we=dɤ tʰəʔ-liɔ , ɦo-gəʔ-ɦiɪʔ ɦiɤ-kɑ1 doʔ=ʦz koŋ1=sz1 pʰɪɲ ŋu-cʰi .
156.wav|noŋ ɪɲ=ke uɑ̃ hɔ-ku ɪʔ=mi kʰø1 .
1560.wav|lɔ=ɕioŋ1 ɦiɤ=ɕyɪʔ-dɤ gəʔ ! vəʔ ziã ŋu si-ɦiã-kʷɑ-cʰi gəʔ te-we li u lɐʔ=he .
1561.wav|noŋ ɪɲ=ke tʰiɔ-zɔ1 , ŋu ciɑ-zɔ noŋ tɔ ɑ1-'lɑ li=cɪɲ1 gəʔ koŋ1=sz1 cʰi-ʦu .
1562.wav|noŋ-ku ɲi-zəʔ si=pɔ1 tʰɑ foŋ1=fu le , ʦu ʦɑ̃-wɑ̃ səʔ=ci wø=zi le=se .
1563.wav|pɑ̃=noŋ tʰi1=mo=ve 'ləʔ !
1564.wav|bã=ɦiɤ dɔ li , ŋu kɑ̃-ʦʰəʔ 'ləʔ məʔ , zy pɑ̃=mɑ̃ pɑ̃ tɔ=ti .
1565.wav|ŋu ɕiɔ=təʔ noŋ-we le-ku !
1566.wav|ŋu vəʔ=le məʔ sɑ-ɲɪɲ le-ɑ ?
1567.wav|noŋ ʦəŋ1=ciɑ hɔ-ɑ ?
1568.wav|ŋu te bɪʔ-ɲɪɲ ze=vəʔ hɔ , ɪɲ1=we noŋ fɐʔ diɔ-dɤ ciɔ-ŋu le-kɑ̃ kɑ̃-ɦe-ɦo .
1569.wav|kəʔ=məʔ noŋ bɪɲ=dɔ kɐʔ tʰəʔ ɦi hɔ=le .
157.wav|noŋ=iɔ1 zɪɲ ʦø-du gəʔ nu=lɪʔ cʰi wø=zəŋ .
1570.wav|ŋu te=fi ɲiɪʔ=ciɐʔ ku=təʔ i=tʰəʔ le !
1571.wav|ŋu tɔ ciɐʔ-zɐʔ me-hɔ gəʔ .
1572.wav|ŋu-we tɪʔ ɦɤ hʷe ɪʔ=pe=ʦz vɐʔ ?
1573.wav|vəʔ=de 'ləʔ ! ɑ1-'lɑ tɔ ʦɤ1=ʦɑ̃ cʰi bɐʔ siã1=hɔ vɐʔ ?
1574.wav|ɦi lɑ liã-kɑ1-dɤ gəʔ e=zɪɲ , i=cɪɲ=səŋ1 'ləʔ ɪʔ-ku de-kɑ .
1575.wav|ŋu kɑ̃=kɑ̃ ɕiɔ=təʔ noŋ lɐʔ sã1-mɔ-bɪɲ , kəʔ-lɔ ɦo ʦe1=pe1=le mɑ̃ mɑ̃-noŋ .
1576.wav|ŋu ɪʔ=ti=ti siɔ=mɔ=bɪɲ , noŋ ɦioŋ-vəʔ-zɐʔ le=kʰø1 ŋu-ɦəʔ !
1577.wav|noŋ ɪʔ=ɕiã səŋ1=tʰi hɔ le-si gəʔ , nɑ-nəŋ lɐʔ=məʔ sã1=dɤ zz i=ɦiø 'ləʔ ?
1578.wav|zz-ku iɑ , ɲi=ci dɑ-liɔ , cɪɲ1=ɲi sz-səʔ ɲi-sø 'ləʔ .
1579.wav|lɔ=ʦɔ sɪɲ1=zɑ̃ zoŋ-le məʔ=fɐʔ=ɦi mɔ=bɪɲ , su=i gəʔ=tʰɑ̃1 ɦiɤ=ŋe ʦʰu=sɤ vəʔ=ɟɪʔ .
158.wav|vɐʔ iɔ1 hʷe1=sɪɲ1 , ʦe=sz ɪʔ=tʰɑ̃1 .
1580.wav|ne ɦo-tʰɑ̃1 , te=səŋ1 tʰi ʦʰi1-ve vəʔ hɔ dɑ-i , sã-təʔ dɑ-ciɑ1 te=sɪɲ1 .
1581.wav|gəʔ=tʰɑ̃1 ʦɪɲ=i=ɦiø , ʦe ɕiɔ=təʔ səŋ1=tʰi ɟi=kʰɑ̃1 ʦø=ʦø iɔ1=cɪɲ .
1582.wav|ne iɔ1=cɪɲ zã tø li tø li . ŋu=mɑ 'ləʔ ti=pu ɦiɐʔ=po noŋ cʰɪʔ .
1583.wav|cɪɲ1=ʦɔ1 ɦiɑ=kʰʷɑ=dɤ ʦʰɪɲ=noŋ pɑ̃ ŋu 'ne gəʔ=ti  dɪʔ=pʰi tɑ we-cʰi .
1584.wav|noŋ tɔ zz-vɑ̃-ke li ɪʔ=po lɑ̃=dɤ tʰəʔ ŋu 'ne-le .
1585.wav|gəʔ liã foŋ1=səŋ noŋ pɑ̃ ŋu ci=tʰəʔ hɔ=vɐʔ ?
1586.wav|ʦʰɪɲ=noŋ le pɑ̃ ŋu kʰø1=kʰø1 , ʦʰɤ1=sz mo-doŋ wɑ-tʰəʔ 'ləʔ vɐʔ ?
1587.wav|ŋu soʔ=sɪɲ pɑ̃=noŋ 'ne ɪɲ=ɦioŋ=ɲiø=ɟi tʰoŋ=tʰoŋ diɔ tʰəʔ ɦi .
1588.wav|təŋ=kʰe vəʔ liã 'ləʔ , noŋ pɑ̃ ŋu le=kʰø1 kʰø1=hɔ vɐʔ ?
1589.wav|lɐʔ=məʔ ɪʔ=tʰɑ̃1 ʦʰɪɲ=noŋ le , noŋ=iɔ1 tʰəʔ ŋu tɪɲ=ʦəŋ1 ti=ʦu ʦu=hɔ !
159.wav|kɑ1-ɦiɤ , ʦəŋ1=ʦoʔ cʰi=le .
1590.wav|ŋu ziɑ=ziɑ=noŋ pɑ̃=pɑ̃=mɑ̃ , tʰəʔ ŋu təŋ=kʷe kʷe=tʰəʔ , ŋu siã=kʰʷəŋ-kɔ 'ləʔ .
1591.wav|noŋ ʦʰɑ̃=məŋ kʰe=kʰe , 'ne kʰoŋ1-diɔ kʷe=tʰəʔ ɦi !
1592.wav|iɔ1=zz ɦe-ɦiɤ bɪʔ həʔ=gəʔ zz=tʰi iɔ1 ŋu pɑ̃=mɑ̃ , zy tã=di=ɦo pəʔ ŋu .
1593.wav|ciɑ-sz noŋ sɪɲ1=vɑ̃=ʦz i=cɪɲ=ʦɑ̃ sy1=hɔ 'ləʔ , ŋu zy le pɑ̃=noŋ pø-zã .
1594.wav|pø vəʔ=doŋ məʔ , tu1 ciɔ ci-ku ɲɪɲ-le pø .
1595.wav|ɦo-ɦəʔ li=pɑ zz=tʰəʔ li=pɑ=ɪʔ li=pɑ=se1 ɦiɤ zz=tʰi , ŋu ɟi-tʰɑ1 ɲiɪʔ=ciɐʔ ze kʰu=i gəʔ .
1596.wav|cɪɲ1=ʦɔ1 məŋ-ʦɔ1 ŋu=ze ɕy1-sɪʔ , ʦʰəŋ ci1-we kʰʷɑ=ti pø hɔ ɦi .
1597.wav|gəʔ ŋe kɑ̃=ʦoŋ1=ku=ʦz ze=hɔ gʷe tʰəʔ ɦi le .
1598.wav|ʦɔ liã=ɲi mɑ-ɦəʔ gəʔ ʦəʔ1 tʰəʔ=bɑ ɦiɤ=i1 ci1=ku zz 'ləʔ , kəʔ-lɔ ŋu iɔ1=mɑ ʦəʔ sɪɲ1-ɦəʔ .
1599.wav|sz=tʰəʔ zɐʔ=ʦz tʰəʔ zoŋ 'ləʔ , ŋu 'ne siɔ=ʦz pe=siã1 ʦɑ̃ .
16.wav|ʦø=ɟɪɲ koŋ1=ʦoʔ nɑ-nəŋ ?
160.wav|noŋ ɪʔ=dɪɲ we tɪʔ zəŋ=koŋ1 gəʔ .
1600.wav|gəʔ ŋe pʰu-le , noŋ-we vəʔ gʷe tʰəʔ ɦi ɑ ?
1601.wav|vɑ̃=ci sɪɲ1 kɑ1-sã1 ze=mɑ hɔ 'ləʔ məʔ , gəʔ=ti pʰɑ kɑ1-sã1 ze kʰu=i toʔ tʰəʔ-liɔ !
1602.wav|ci=zø noŋ ciɑ hʷø=ɕi ʦoŋ=ho1 , noŋ e1 ʦəʔ1 ɦiã=de zy ʦø=məŋ pɑ ho1=bəŋ hɔ=le .
1603.wav|gəʔ ʦəʔ1 siã1=ʦz iɔ1 tʰəʔ=bɪʔ tʰəʔ ŋu tɑ̃=sɪɲ1 .
1604.wav|ue ,  zz vɐʔ ?
1605.wav|ŋu oʔ=li ɦiɤ-ku lɔ-ɲɪɲ dəʔ=zø tɔ=lɐʔ di=lɑ̃ , dɑ-ke ʦoŋ1=foŋ 'ləʔ .
1606.wav|ʦʰɪɲ  ɲɪɲ 'nɑ  kʰʷɑ=ti le=bu cy=wu=cy , ɦɔ-sɔ !
1607.wav|ŋu-ɦəʔ di=ʦz zz vu=ɲɪɲ lu  loŋ  ɦɔ=ti lɤ .
1608.wav|ŋu-ɦəʔ sɤ=ci1 vəʔ tʰəʔ-liɔ , nɑ-nəŋ-be ?
1609.wav|noŋ siã=siã ʦʰɪɲ1=sɑ̃ , dɑ-ke lɐʔ sɑ-zəŋ-kʷɑ̃1 sɑ=di=fɑ̃ loʔ=tʰəʔ gəʔ ?
161.wav|siã1-sɪɲ zz=ci .
1610.wav|ŋu cʰɪʔ=ʦoŋ1=ve gəʔ zəŋ-kʷɑ̃1 ɦe=tã=ku liã ʦɐʔ1 di=ɦo , su=i gəʔ-ɦəʔ zəŋ-kʷɑ̃1 ɦe=lɐʔ=gəʔ .
1611.wav|kəʔ=noŋ ɦo-pø-tʰi1 tɔ=ku ci-ku di=fɑ̃ ?
1612.wav|oʔ , siã=cʰi=le 'ləʔ , mɑ̃ ci=lɐʔ di1-pɔ mɪɲ te-ku de=ʦz kɔ1=dɤ .
1613.wav|ne i=cɪɲ sɤ1-zã 'ləʔ , vəʔ=ɕiɔ=təʔ ɦe zɪɲ-təʔ-zɐʔ vɐʔ 'ləʔ ?
1614.wav|ɦɔ-sɔ ʦoŋ1=ve tɔ e1=mi cʰi tã=tʰɪɲ , kʰʷɑ ʦɤ !
1615.wav|ɦioʔ , di=ɦo lɪɲ=ɕiã 'ləʔ , " ue , sɑ-ɲɪɲ ɑ ?   ɔ , ziɑ=ziɑ=noŋ ! "
1616.wav|ŋu=sɤ ci1 ʦɔ=tɔ 'ləʔ , ɲɪɲ-kɑ1 tã=di=ɦo le ciɔ-ŋu cʰi=lɪɲ 'ləʔ !
1617.wav|ɪʔ=te be=ɕyɪɲ ɟi-mø , ŋu zy kʰu=i ʦu ɪʔ-ku ɲɪɲ-ɦɑ̃ ʦʰəʔ=nɐʔ=ɦiø .
1618.wav|ʦəʔ1=ɦiɤ ŋu zz-ciɑ1 kʰe=sz ʦu=sã1-i gəʔ zəŋ-kʷɑ̃1 , ŋu ʦe ciɐʔ-zɐʔ ʦʰəŋ=sɪɲ1 zz=i .
1619.wav|tʰe-ɕy1 ɦɑ tʰe-ɕy1 'ləʔ , ɦe zã=zã pəʔ ɦi lɑ ʦʰɪɲ təʔ cʰi-ʦu ku-vəŋ .
162.wav|ci=zoʔ nu=lɪʔ .
1620.wav|ɦi gəʔ koŋ1=ʦoʔ koŋ1=ʦz lɔ=kɔ1 , koŋ1=ʦoʔ zəŋ-kʷɑ̃1 ɦɑ ciɔ1-kʷe li=siã .
1621.wav|ʦəʔ1=iɔ1 ɦi lɐʔ zz ɲiɪʔ lɑ̃ ʦu=ʦʰəʔ zəŋ=zy , zy kʰu-nəŋ pʰɑ tɔ kʷəʔ=ŋɑ cʰi ɦəʔ-ʦoʔ .
1622.wav|ŋu ɕi=hʷø ɦo=ɦiɤ=ɦo , de=zz ŋu vəʔ=siã 'ne ɦi ʦu ŋu-ɦəʔ ʦoŋ=səŋ1 ʦəʔ=ɲiɪʔ .
1623.wav|vəʔ kʷø=noŋ tɔ vəʔ tɔ gəʔ be ʦʰã cʰi koŋ1=ʦoʔ , ʦoŋ=kʷe iɔ1 kɔ=su=ŋu ɪʔ-sã .
1624.wav|ɦi toŋ tʰoʔ-ɲɪɲ , si1 ɪɲ=pʰɪɲ , we-le-we-cʰi we-ʦz1 ʦu zz-ciɑ1 ʦʰəŋ=sɪɲ1=gəʔ sã1=wəʔ .
1625.wav|ʦɪʔ=sz ŋu 'ne vəʔ tɔ kɔ1=gəʔ koŋ1=ʦz , ŋu-ɦɑ vəʔ kʰəŋ=fɑ̃=cʰi gəʔ ʦəʔ1 ve uø .
1626.wav|cɪɲ1=ʦɔ1 mɑ̃ ʦu mɑ̃ , ɦɑ-iɔ1 ʦu=kʷã1 gəʔ=ti sã1=wəʔ ʦe ʦɤ .
1627.wav|si1-sã1 , ʦʰɪɲ=noŋ zz=ŋu ciɑ-zɔ ɪʔ-ɕiɑ , noŋ=ɦiɤ sɑ=gəʔ ʦø=ʦã ?
1628.wav|ŋu ci=ɦiɤ pi ciɔ-ɟiã gəʔ ɪɲ1=vəŋ tʰɪɲ=lɪʔ , kʰɤ=ɲy , siɑ=ʦoʔ nəŋ-lɪʔ .
1629.wav|noŋ we=sɑ iɔ1 tɔ ɑ1-'lɑ koŋ1=sz1 le ɪɲ=pʰɪɲ ?
163.wav|noŋ mɪɲ=ɲi ɪʔ=dɪɲ we tɪʔ ɦɪɲ=gəʔ .
1630.wav|ɪɲ1=we  ɲɪɲ 'nɑ  koŋ1=sz1 gəʔ=ɲiɪʔ=vu nəŋ-kɤ fɐʔ=hʷe ŋu-ɦəʔ tʰəʔ=ʦã .
1631.wav|noŋ ɲɪɲ=we zz=ci kʰu=i ʦu ɑ1-li fɑ̃=mi gəʔ koŋ1=ʦoʔ ?
1632.wav|ŋu kʰu=i ʦu ʦoŋ1=ɪɲ1 sɑ̃=ɕiã fe1=ɦiɪʔ , ʦʰø-kɑ1 tʰəʔ ŋɑ=kʷəʔ-ɲɪɲ ciɔ1-ʦi de=pʰø .
1633.wav|ŋu=iɔ1 pɔ=kʰɔ  ɲɪɲ 'nɑ  gəʔ ʦəʔ=ɲiɪʔ be=ɕyɪɲ=pe1 , sɑ-zəŋ-kʷɑ̃1 kʰɔ=sz ?
1634.wav|ʦʰɪɲ=noŋ 'ne gəʔ ʦã piɔ=kɐʔ di1-hɔ , kʰɔ=sz zy lɐʔ gəʔ-ɦəʔ ɦɔ=dɤ zəʔ=ɲie ɦɔ .
1635.wav|ciɑ-sz kʰɔ=ʦʰy 'ləʔ , iɔ1-ɦoʔ ci-ku ɦɔ=dɤ ?
1636.wav|iɔ1-ɦoʔ se1-ku ɦɔ=dɤ , zi=bu ɦioŋ=ɲiɪʔ z zəŋ-kʷɑ̃1 .
1637.wav|sɑ=gəʔ ne-ɦioŋ iɔ1=kʰɔ ? ʦʰø-kʰɔ=sz ɦiɤ=vɐʔ ?
1638.wav|noŋ kʰø1 gəʔ ʦã=piɔ hɔ=le , kɔ1=dɤ i=cɪɲ siɑ ʦʰɪɲ1=sɑ̃ 'ləʔ .
1639.wav|si1-sã1 , ŋu siã zɪɲ ɪʔ-vəŋ1 koŋ1=ʦoʔ .
164.wav|ŋu iɔ1 ʦɤ-liɔ , ŋu zz le pɑ̃ loŋ ʦe-we gəʔ .
1640.wav|noŋ siã ʦɔ ɑ1-li fɑ̃=mi gəʔ koŋ1=ʦoʔ ?
1641.wav|ʦu ʦʰø1=kʷø voʔ-vu-ɦiø ɑ , ʦy-bɑ1 ʦɔ1=de=ɦiø ɑ , ze kʰu=i .
1642.wav|noŋ pʰu=tʰoŋ1 ɦo=ciã təʔ=le vɐʔ ?
1643.wav|tɑ̃=zø we=gəʔ , pəʔ1-ku zɑ̃-he-ɦe-ɦo ciã=dɑ vəʔ=le .
1644.wav|vəʔ=iɔ1=cɪɲ gəʔ , tɑ̃=zø ʦø=hɔ ɦe-zz mɑ=pəŋ we-ɦo sz ɦoʔ-ɦoʔ zɑ̃=he ɦo .
1645.wav|he=zz mɑ̃=iɔ1 ʦɔ1 ɪʔ-ku pi=ʦʰɪʔ , noŋ ɦiɤ-ɕɪɲ-ʦʰy vɐʔ ?
1646.wav|hɔ-ku iɑ , sɪɲ1=cɪɲ1 tu1=sɔ ? ɕy1-sɪʔ=ɲiɪʔ ɦiɤ=vɐʔ ?
1647.wav|'me-ku ɦɔ=dɤ liã ʦʰi1=ɲiø , 'me-ku li=pɑ ɕy1-sɪʔ liã=tʰi1 , kʰu=i vɐʔ ?
1648.wav|ʦʰɪɲ=noŋ gəʔ ʦã=piɔ=di1 ɪʔ-di1 , təŋ ɑ1-'lɑ lɑ=gəʔ tʰoŋ1=ʦz1 .
1649.wav|vəʔ=zz hɐʔ-kɑ̃ , ŋu gəʔ pɪɲ1 koŋ1=ʦoʔ ʦəŋ1=ciɔ m-məʔ cɪɲ !
165.wav|ŋu 'ləʔ kɐʔ tɪʔ ku-liɔ ciɔ1-kʷe kʰe=sɪɲ1 .
1650.wav|noŋ zã=zã ʦʰəʔ-ʦʰɑ1 , toŋ-nø si1-poʔ ʦʰɑ̃ ʦʰɑ̃ , vəʔ=iɔ1 tʰəʔ siɔ=sɑ ɔ !
1651.wav|zã-ɲi=le=ŋəʔ toŋ=pəŋ1=si1=ʦɤ mɑ̃ sɐʔ 'ləʔ , sã1=wəʔ tʰəʔ m-məʔ kʷe=lɪʔ 'ləʔ .
1652.wav|noŋ-ku koŋ1=ʦoʔ diɔ=pəʔ ŋu ʦu=ʦu zy hɔ 'ləʔ .
1653.wav|ʦəŋ1=ciɔ kʰø1-ɲɪɲ tʰiɔ1=te vəʔ cʰɪʔ=lɪʔ , ŋu tʰəʔ=noŋ diɔ=ɪʔ diɔ=hɔ vɐʔ ?
1654.wav|kʰoŋ1=zz kʰoŋ1 təʔ=le məʔ=zz=tʰi ʦu .
1655.wav|koŋ1=ʦz=məʔ , zz noŋ-ku lɪɲ=dɤ ; zɑ̃=pe1 məʔ , dɑ-ciɑ1 dɔ dɔ=ʦiã=wu .
1656.wav|ɦo-pe1 zəŋ-kʷɑ̃1 vəʔ tɔ məʔ , dɑ-ciɑ1 zy siã wɐʔ=ciɐʔ .
1657.wav|noŋ-kɑ̃ ɦiɤ-cɪɲ vɐʔ ?
1658.wav|siɔ-ʦiɑ , ŋu siã mɑ ɪʔ=ɟi si1=ʦɑ̃ , ɦiã=ʦz hɔ=ɪʔ=ŋe gəʔ .
1659.wav|gəʔ=tɐʔ ɪʔ=bɑ ze=zz ʦɪɲ=kʰɤ mi=liɔ ɤ=pe=gəʔ si1=ʦɑ̃ .
166.wav|kɐʔ ci=tʰi1 mo=ve noŋ 'ləʔ .
1660.wav|gəʔ=ʦoŋ ŋe=səʔ pi ɦi ʦoŋ sɔ-we səŋ1 ɪʔ=ti .
1661.wav|noŋ kʰø1 gəʔ liã=ɟi ʦu=koŋ1 iɔ1-pi ɦi mi gəʔ kʰɔ=cy .
1662.wav|'ni kʰø1=noŋ ʦʰø1 sɔ-we de ɪʔ=ti gəʔ ŋe=səʔ kəŋ1-kɑ1 hɔ .
1663.wav|ŋu pi-noŋ ʦã ɪʔ=ti=ti , pi gəʔ-ɦəʔ ʦʰɐʔ=mo du-ɪʔ-ti ku-ɦiɤ vɐʔ ?
1664.wav|bɑ̃=pi ɪʔ=bɑ i1=zɑ̃ kəŋ1 gəʔ=tɐʔ gəʔ i1=zɑ̃ məʔ=sɑ liã=ɦiã .
1665.wav|səŋ1=zɑ̃ ʦʰɪɲ1=ɑ1=zz ɟɪʔ vəʔ zɑ̃ həʔ=ŋe=səʔ hɔ=kʰø1 ?
